Name,Street,Municipality,Categories,Time Zone,Phone,Phones,Owner,Email,Social Medias,Review Count,Average Rating,Google Maps URL,Latitude,Longitude,Website,Domain,Image,Place Id,Sport
The One Padel - Campi di Padel Indoor climatizzati,"Via di Vigna Girelli, 88",00148 Roma RM,Padel club,Europe/Rome,+39 351 596 7851,"351 596 7851, +39 351 596 7851",The One Padel - Campi di Padel Indoor climatizzati (Owner),"the.one.i@gmail.com,the.one.padel.1@gmail.com","facebook: https://www.facebook.com/TheOnePadelClub
instagram: https://www.instagram.com/theonepadelclub",137,4.6,https://www.google.com/maps?cid=13947135576678149882,41.8412855,12.4283299,https://theoneit.matchpoint.com.es/,theoneit.matchpoint.com.es,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSziXtcqo5qKj_3-BxiLia_m_T2vNdLzuQVx9X8d4qsSdga7U1W4Hu-EnkIY8sUErEWz5lGCKhYRaUcV0-mK6JETOJaH0xstpuwnpRxwcjkdlCkC6IeiMLBQiDphQna5Tba59NM-NQ,ChIJzdE9WRH1JRMR-i4dcuktjsE,padel
Old Tower Padel,"Via di Torrevecchia, 672",00168 Roma RM,Padel club,Europe/Rome,+39 393 031 1976,"393 031 1976, +39 393 031 1976",Old Tower Padel (Owner),,,134,4.4,https://www.google.com/maps?cid=18346874463982205490,41.92099,12.4101597,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpiv_BL_p3Ls6weAcgu114N0_oXsG0tflydkA9Hf7WhdNBHJdaQRehfF1C2CC7l0_cJJRhE7_7Nm6CBVTIToKn8NpihEWBhgPvrRfdMLsEQkgfxCrIFF4WcJv_Z2UBsmu5S8x6,ChIJ0XU5X41fLxMRMjpYfB4xnf4,padel
Montesacro Padel,"Via Clelia Bertini Attilj, 35",00137 Roma RM,Padel club,Europe/Rome,+39 349 453 5487,"349 453 5487, +39 349 453 5487",Montesacro Padel (Owner),,,116,4.6,https://www.google.com/maps?cid=10661212028110248720,41.9411807,12.5432482,https://instagram.com/montesacro_padelclub?igshid=q8zptt9itltc,instagram.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx5EbDfgxk8MIJu3r4WGEaT59OkwzW3O5fiovi8dkL-i9HirR_2DUntvSD93hBgk2w81YvO7zOI33JUW_TsmMiG1KmpA46Zjz0-TF9VBTgPy7ILEDRyIEuVjfpQ7fHLUnendp-1,ChIJnaiQ_NllLxMREBuioto79JM,padel
Atletico Lodigiani Padel,"Via Giuseppe Rosaccio, 100",00156 Roma RM,Sports club,Europe/Rome,+39 327 381 3723,"327 381 3723, +39 327 381 3723",Atletico Lodigiani Padel (Owner),segreteria@atleticolodigianipadel.it,"facebook: https://www.facebook.com/AtleticoLodigianiOfficial
instagram: https://www.instagram.com/atletico.lodigiani",70,4.3,https://www.google.com/maps?cid=4003538547392905958,41.93404,12.5816602,https://www.atleticolodigiani.eu/padel/,atleticolodigiani.eu,https://lh3.googleusercontent.com/p/AF1QipMMgM8i8eD4DnvXxwzfrgZJqmyVPX_pW99as2Dh,ChIJs4IDy_VjLxMR5gLw4Rhtjzc,padel
Infinito Padel Club,"Via di Santa Cornelia, 238",00188 Roma RM,"Padel court, Playground",Europe/Rome,+39 327 956 9904,"327 956 9904, +39 327 956 9904",Infinito Padel Club (Owner),,,49,4.6,https://www.google.com/maps?cid=4010317875697315936,42.0235529,12.4571595,https://www.facebook.com/infinitopadelclub/,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQweZJzIr2SG8EWiVzl1mo9X1stVxzZ5vARLwt_Q3LQV6UHgyc74s2BsBJ5Cups9kpzMAU7P1-5OcrBNVa6w1cM1gV64FYniFKKENtax4H3KPvLh-Amx0A8AL7YtgipFFMyOZVVw,ChIJo_q8TeFnLxMRYHBWQdyCpzc,padel
World Aurelio Padel Center,"Via Giambattista Soria, 19",00168 Roma RM,"Padel court, Futsal court, Outdoor swimming pool, Sports complex, Playground",Europe/Rome,+39 345 522 7951,"345 522 7951, +39 345 522 7951",World Aurelio Padel Center (Owner),segreteria@worldaureliopadelcenter.it,"facebook: https://www.facebook.com/worldcenteraurelio
instagram: https://www.instagram.com/worldaurelio_padelcenter",95,4.4,https://www.google.com/maps?cid=10834261301288873982,41.9091192,12.4101116,https://www.worldaureliopadelcenter.it/,worldaureliopadelcenter.it,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw19H-Anixls5k_aD5Wv2vNHdEfUpLoVYOehndoNyL7Qa3QGlAK22NlrY_QeFfguoLFZZfW9MstIj4T7xQ-XnEyJeLLsD0ktjGfG0iOoaY0HpwgItoK8kJkwQ1YnQ7bfJViiH-0-Q,ChIJWUiUDlVfLxMR_q8VS0AHW5Y,padel
Jolly Padel Club,"Via Concesio, 64",00188 Roma RM,Sports club,Europe/Rome,+39 351 501 3062,"351 501 3062, +39 351 501 3062",Jolly Padel Club (Owner),,,125,4.6,https://www.google.com/maps?cid=774297165137897580,42.0063638,12.4858085,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxtvg8l-Ux-xR2QYGAiQeT2Z6J_do2NXVz9OKxPYbSQ82-W9Ba6JwG0qyvZVJWh52cocAJ6AMk2XxzmY2PM3ovqHuGAR-1_x7s07z3M9RXKkXh5rWa1D6t6BNA0HydOwGaIbVIR,ChIJhxN0f1FnLxMRbOiiVivbvgo,padel
Fly Padel,"Via Appia Nuova, 1",00043 Zona Industriale Appia Nuova RM,Sports club,Europe/Rome,+39 351 532 4825,"351 532 4825, +39 351 532 4825",Fly Padel (Owner),,,57,4.8,https://www.google.com/maps?cid=1843734318829630349,41.7859657,12.598876,https://m.facebook.com/FlyPadelCiampino/?tsid=0.5936325623103352&source=result,m.facebook.com,https://lh3.googleusercontent.com/p/AF1QipOCwmYyl0LeSfOte15C4B8Xk3zybjsx7JZ0S0GC,ChIJr-zYxlSJJRMRjXMJLphClhk,padel
ROMA PADEL TEAM,"Via di Tor Pagnotta, 351",00143 Roma RM,"Padel club, Association / Organization, Padel court, Travel agency",Europe/Rome,+39 347 516 1597,"347 516 1597, +39 347 516 1597",ROMA PADEL TEAM (Owner),romapadelteam@libero.it,,18,5,https://www.google.com/maps?cid=14149743102155862325,41.8045737,12.5166273,https://www.romapadelteam.com/,romapadelteam.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfGfmdI2h9kXhQ0gCYPNvemaKN59FyGV7LrIA4SYW4_gjdZxVn8vXP5YMtGViEwv7ZFh2Hgvy6gXhb2Sgu2J3FvMsgr82H4BOraFF3FLRVTdP6x04OQzdxFL5wTUwg5XseW1A,ChIJkaWdKF2NJRMRNbEIA2L8XcQ,padel
Mava Padel club,"Via Gussago, snc",00188 Roma RM,Padel club,Europe/Rome,+39 335 613 2960,"335 613 2960, +39 335 613 2960",Mava Padel club (Owner),,,22,4.8,https://www.google.com/maps?cid=12359021731059095033,41.9978445,12.4872053,,,https://lh3.googleusercontent.com/p/AF1QipN33XwRkA0Qud0rG84j_lzwu6iF8w9StkmSgfOG,ChIJ1Y9sAR5nLxMR-VUck8gQhKs,padel
Royal Padel asd,"Viale Esperia Sperani, 112",00135 Roma RM,Sports club,Europe/Rome,+39 351 919 1730,"351 919 1730, +39 351 919 1730",Royal Padel asd (Owner),,,47,4.4,https://www.google.com/maps?cid=4093918564499778273,41.9614455,12.3961823,https://www.facebook.com/Royal-padel-asd-102912755469579/,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzJLFraODHENx-14PwKTcX0RmTfqOzvrfqIOQhCR8d2LW0E7CE8jyu8ZZv9wx3e6IgPho9Ig5E2o2S7lzuJEDD2heWJ9K2PIGRM9sUazqR5aRudTlHPwX9wjLIiwcQbcWr-d5o4,ChIJS4k9L2ZdLxMR4epicD6F0Dg,padel
Tor di Quinto Padel Club,"Via del Baiardo, 25",00191 Roma RM,Sports club,Europe/Rome,+39 349 777 5878,"349 777 5878, +39 349 777 5878",Tor di Quinto Padel Club (Owner),,,59,4.1,https://www.google.com/maps?cid=14376869618112119183,41.9431144,12.4917014,https://www.facebook.com/tordiquintopadelclub,facebook.com,https://lh3.googleusercontent.com/p/AF1QipNX-UQV2m1rx-SXuLQTGUxMzbf7OinJ31MIqdym,ChIJV26XmcxgLxMRj8Gt6b7mhMc,padel
Eur Paddle Club,"Via dei Georgofili, 26/30",00147 Roma RM,Sports club,Europe/Rome,+39 392 696 4717,"392 696 4717, +39 392 696 4717",Eur Paddle Club (Owner),,,220,4.3,https://www.google.com/maps?cid=7829061257207052957,41.8536924,12.4906432,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwyNHyu7wj9ijUyyKDBzqy3925yqGAuVRXc_5u_wnSGRbMXOU3N90cekVc5SMOyO80_3v1HUw_tl129qlq50faLDZc1w6N94lxO1xUuP7qNRwtkO3TqFr8kB8aXL7cTzOTa78Gomw,ChIJdbIcF2SKJRMRnXqZuLtppmw,padel
Tweener Padel Club,"Via delle Cisternole, 12",00044 Frascati RM,Padel club,Europe/Rome,+39 379 112 2080,"379 112 2080, +39 379 112 2080",Tweener Padel Club (Owner),,"facebook: https://www.facebook.com/p/Tweener-Padel-Club-61557884255337
instagram: https://www.instagram.com/tweenerpadelclub
tiktok: https://www.tiktok.com/@tweenerpadelclub",28,4.8,https://www.google.com/maps?cid=15063864150581251679,41.8231293,12.6802718,https://tweenerpadelclub.it/,tweenerpadelclub.it,https://lh3.googleusercontent.com/p/AF1QipMmCCvb6OhI_qwPZZATUr8XsVch6M77V2gkSela,ChIJW7fyN7mHJRMRXw4jGKKYDdE,padel
Blu Padel Club Roma,"V. di Settebagni, 336",00139 Roma RM,Sports club,Europe/Rome,+39 331 743 7850,"331 743 7850, +39 331 743 7850",Blu Padel Club Roma (Owner),,"instagram: https://www.instagram.com/bluvillageroma,https://www.instagram.com/acr_footballclub",66,4.5,https://www.google.com/maps?cid=9576127509982903931,41.9677843,12.5457477,http://www.bluvillage.it/,bluvillage.it,https://lh3.googleusercontent.com/p/AF1QipM1YVK5PgvBGZwKI_9kfE-ozovbPMgmUQv9TtfL,ChIJPcFkdellLxMRe35g3Ds95YQ,padel
Padel Colli Portuensi,"Viale dei Colli Portuensi, 250",00151 Roma RM,Sports club,Europe/Rome,+39 348 072 5836,"348 072 5836, +39 348 072 5836",Padel Colli Portuensi (Owner),,,226,4.3,https://www.google.com/maps?cid=6316825360961880636,41.8678853,12.4435672,https://www.facebook.com/padelcolliportuensi,facebook.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw3rnYmpPXGvnPXBU7ojErJAMcbNSU9gg97OCU6y4YsKZeIQA1DkdI-dYF0Vfc6EmrI0aecv7HlXGjuRm9TGXcwi22JBzbLtCEDqThRhwV3GPkor5I869toPPr6Jw5Z-wSAGtBIkA,ChIJ7divA6yKJRMRPMJPpDLfqVc,padel
Padel Maximo,"Via di Casal Boccone, 283",00137 Roma RM,"Padel court, Playground, Sports complex",Europe/Rome,+39 06 8880 5808,"06 8880 5808, +39 06 8880 5808",Padel Maximo (Owner),,,645,4.2,https://www.google.com/maps?cid=1975673471042888373,41.9655829,12.5509619,https://i78573.wixsite.com/maximo2020,i78573.wixsite.com,https://lh3.googleusercontent.com/p/AF1QipPVom6ej4PM1o4o__hPNl5qNNStO0kQhGgGFy6w,ChIJG6hUox5lLxMRtaKs6Y0Aaxs,padel
Caesars Club Padel Roma,"Via Guarene, 36",00148 Piana del Sole RM,Sports club,Europe/Rome,+39 346 479 8003,"346 479 8003, +39 346 479 8003",Caesars Club Padel Roma (Owner),caesarspadel@gmail.com,instagram: https://www.instagram.com/caesarspadelroma,69,4.7,https://www.google.com/maps?cid=4052697788081944179,41.8163681,12.3171234,https://www.caesarspadel.com/,caesarspadel.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxl13Rr6nzeHq_heyAts_8sDooKK5ANjCzAqrD6enGfjl6EvuUJCMD0WB5aqNfNtqJqJ3V1gr8Pz9inIbD1_w1H5I8_NvXGJEzK6RDoJbSer9bdXDQAF0-TBQh57_CmgCopMph4,ChIJAQMxES_3JRMRc7aiiCoTPjg,padel
Evodia Padel,"Via Evodia, 36",00178 Roma RM,Sports club,Europe/Rome,+39 375 622 3883,"375 622 3883, +39 375 622 3883",Evodia Padel (Owner),,,83,4.6,https://www.google.com/maps?cid=2843672277715963511,41.826869,12.5274649,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyXrUv1R9mRISGC9d7VxykR43qoPvmPsfwdUwiha5REnRH6-R4jxdzGnml7ax9m5R_Px1I_PuCCQyyDpU_Ax3bQOBKsNJ8uSkhxwCO077kPNUYRf_sdYlIDaxtYIJQv5SogBMEEaQ,ChIJISUeIzSLJRMRd87iwt7Adic,padel
Tiburtino Padel Club - Campi Padel,"Via F.lli Gualandi, 50",00012 Guidonia Montecelio RM,Padel club,Europe/Rome,+39 339 181 4290,"339 181 4290, +39 339 181 4290",Tiburtino Padel Club - Campi Padel (Owner),,,31,4.7,https://www.google.com/maps?cid=2143293911954417723,41.9582046,12.6961001,https://tiburtino.taykus.com/bookingTypes,tiburtino.taykus.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwNpTYQEGA5LwFtG4lZKqfPxGkABIxWBA7NH00yKsPyOSqkQJbj-KpT59CDzxYZEH-EpD338Wjxvg8SUu9deHOLXI8UNFEGWunoiIUzqjysB6oSjdPvr_EbQ5oJK6pBEguCOQAC,ChIJCYEb1at7LxMRO-hMD3WCvh0,padel
Country Padel Palidoro Fiumicino,Via Andrea Torresani,00054 Fiumicino RM,"Padel court, Indoor snowcenter, Padel club",Europe/Rome,+39 348 243 0833,"348 243 0833, +39 348 243 0833",Country Padel Palidoro Fiumicino (Owner),countrypadel@gmail.com,,36,4.7,https://www.google.com/maps?cid=761248072732651070,41.9469795,12.1939573,http://www.countrypadel.club/,countrypadel.club,https://lh3.googleusercontent.com/p/AF1QipNWmj51B0j3ssO9iH0kxiZugXOEqROUXF0IBORB,ChIJ7VvLsvJXLxMRPi4uwRZ_kAo,padel
Paddle Club Vis Aurelia,"Via Gioacchino Ventura, 54",00167 Roma RM,Sports club,Europe/Rome,+39 347 653 0795,"347 653 0795, +39 347 653 0795",Paddle Club Vis Aurelia (Owner),,,99,4.4,https://www.google.com/maps?cid=15483945605098335136,41.9129771,12.4256697,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy5PeqeBprSeuveS-X5raklErWYlivo_rILYVkd7eMWcbb7WuOXjUnVq812yyDhT131HXbYocgvNjG2QQhN48be8RetxRMjfwaO7tblsGhjlNtw31mkLK4IiujEYDTL4AYNN8EL,ChIJWSTsIs1fLxMRoGtbiX0G4tY,padel
Village Fregene Padel,"V. Agropoli, 85",00054 Fregene RM,Sports club,Europe/Rome,+39 327 284 4757,"327 284 4757, +39 327 284 4757",Village Fregene Padel (Owner),,,51,5,https://www.google.com/maps?cid=16978957954938448807,41.85459,12.2088771,https://m.facebook.com/villagefregenepadel/,m.facebook.com,https://lh3.googleusercontent.com/p/AF1QipOe1sYLx_KuZwqMSlIxQeXWSm0DN3fadJZ58N0z,ChIJHSOy9Hz5JRMRpytmOE1goes,padel
Padel-Roma,"Via di Tor Pagnotta, 351",00143 Roma RM,"Sports club, Rugby club",Europe/Rome,+39 347 516 1597,"347 516 1597, +39 347 516 1597",Padel-Roma (Owner),rrpolisportiva@gmail.com,"facebook: https://www.facebook.com/RRPadelRoma
instagram: https://www.instagram.com/__padel__roma__",13,4.6,https://www.google.com/maps?cid=13967664140142835858,41.8056083,12.5147958,https://padelroma.matchpoint.com.es/,padelroma.matchpoint.com.es,https://lh3.googleusercontent.com/p/AF1QipPbALcxy9oSjMpQKmgLtQhNdrLK4GB3tooVJGu9,ChIJu6u7yjmLJRMRkvgsF4gc18E,padel
Acsi padel Alessandrino,"Via Francesco Bonafede, 65",00172 Roma RM,Padel court,Europe/Rome,+39 348 143 9322,"348 143 9322, +39 348 143 9322",Acsi padel Alessandrino (Owner),,,45,4.3,https://www.google.com/maps?cid=14846170923195483645,41.8773861,12.5818219,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhGpZ9DXuJlLS3TLU3qeao0Da84QQKIY84D9VwsGx0X5SGWImTpaKKTosFSAj689NwpZuX-QVIj7mRf2phmjHefClUtiFlsDiIEIjk7Fqeo33sBMQ4G2ZgJ9gx6LiRdsJyChM-,ChIJ4WyRrIxiLxMR_cXM18sxCM4,padel
Eucaliptos Padel Club SSD,"Via dei Monti di S. Paolo, 140",00125 Roma RM,Padel club,Europe/Rome,+39 349 665 9582,"349 665 9582, +39 349 665 9582",Eucaliptos Padel Club SSD (Owner),,,109,4.7,https://www.google.com/maps?cid=17826102166633028598,41.7940292,12.3614654,,,https://lh3.googleusercontent.com/p/AF1QipMVRVXVfVIvGwHzQ3uYZQFUSUPXM6BvTKsSIIg,ChIJXVBZmwbzJRMR9pv7S3kJY_c,padel
Flower Padel Village indoor,"Via Licio Giorgieri, 50",00163 Roma RM,Sports club,Europe/Rome,+39 320 575 2555,"320 575 2555, +39 320 575 2555",Flower Padel Village indoor (Owner),flowerpadelaurelia@gmail.com,,46,4.3,https://www.google.com/maps?cid=5947047716341314383,41.8850334,12.38741,http://www.flowerpadel.com/,flowerpadel.com,https://lh3.googleusercontent.com/p/AF1QipN9nTTJeapmJJWvCZFJwUbtHU56d0lMiMYQpvc,ChIJtyh_ZlRfLxMRT3PSomMoiFI,padel
A.S.D. Valle Giulia Padel,Viale delle Belle Arti 14A,"Via di Villa Giulia, 47",Sports club,Europe/Rome,+39 328 936 6123,"328 936 6123, +39 328 936 6123",A.S.D. Valle Giulia Padel (Owner),,,25,4.4,https://www.google.com/maps?cid=14976374330767116902,41.9184,12.4762388,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw92pm8NXkj_UWZbn1sTrnT_tGejh8DN4qpYhdEZKiWi8z0Tt6Odfp2cB6e6U_KyBm-WiHWlr9mWZa245v3x52_vIvkP0betc_F-tnPjkpijaPN9Z7_AbE1SGe90gelxK6mYOql,ChIJ4UNoCDthLxMRZgqnCBvF1s8,padel
A.S.D. PADEL ALBUCCETO,"V.Albucceto, 40",00061 Albucceto RM,Sports club,Europe/Rome,+39 351 501 8909,"351 501 8909, +39 351 501 8909",A.S.D. PADEL ALBUCCETO (Owner),,,56,5,https://www.google.com/maps?cid=4609322310252083258,42.0213127,12.2165384,https://www.facebook.com/asdpadelalbucceto/,facebook.com,https://lh3.googleusercontent.com/p/AF1QipNJz3H1jQDLNdoTyLbSaFRnK5JHOSSB8emYhuhc,ChIJHT7VF5tRLxMROrjbTTia9z8,padel
Roma Padel Star,"Via della Magliana, 1066",00148 Roma RM,Padel court,Europe/Rome,+39 351 797 7794,"351 797 7794, +39 351 797 7794",Roma Padel Star (Owner),,,13,4.5,https://www.google.com/maps?cid=10497202486718770894,41.8235783,12.3830631,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzgJEoWamOR3piVm0Uu77THbiyP6JDRjUf987njk7LZ-rXnRGLyz8C-8iBJSjk_FpOXFArYT-y4-qmlGm7-mQlm1ECM4uMuJGK4RYZ2vCUnZWsymBiqlTv9iKPeJ8nOP6KtjNhy,ChIJUddiiRz1JRMRzi44jAuOrZE,padel
Viboras Padel,"Via Guglielmo Girardi, 250",00166 Roma RM,Padel club,Europe/Rome,+39 351 992 1535,"351 992 1535, +39 351 992 1535",Viboras Padel (Owner),,,12,4.9,https://www.google.com/maps?cid=11909495580065822296,41.9460112,12.3600126,http://playselvacandida.it/,playselvacandida.it,https://lh3.googleusercontent.com/p/AF1QipPwBOsIrjqyGtlGX9VtViEkM3FVMdhXFaF4ThsS,ChIJS3Eiz85fLxMRWHbofyEHR6U,padel
My Padel F84,"Via del Casale di S. Basilio, 92c",00156 Roma RM,Padel club,Europe/Rome,+39 388 864 0377,"388 864 0377, +39 388 864 0377",My Padel F84 (Owner),,,30,4.6,https://www.google.com/maps?cid=10696505802508998619,41.9401361,12.5744705,https://playtomic.io/my-padel-f84/36b2e3b7-07a1-4257-a0ea-6b0399492e38?q=PADEL~2023-10-27~~~,playtomic.io,https://lh3.googleusercontent.com/p/AF1QipOLb4K2Q16W-LJwvQ5mhPv-Sl5XFLanARf_XpQp,ChIJ9SU8RxFlLxMR2xd02FqfcZQ,padel
Padel Zone Collatino,"Via dei Gordiani, 191",00177 Roma RM,Social club,Europe/Rome,+39 351 519 5617,"351 519 5617, +39 351 519 5617",Padel Zone Collatino (Owner),,,98,4.3,https://www.google.com/maps?cid=3667614607572896576,41.8856669,12.5527925,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxCgQS7BoO2Eag5qcMaNqk0Uqmc_TjlGyu-w3IVpg6uLclA7Dw_M6XoYbrUrrkdr8vJKdsGFoSEk6P_zdPjMQ8u8AW9m3SLtdXo0ssXGpCJ62p2Q4ktb5tfB1itbqmQ3EYVJgoh,ChIJ46dcVUdiLxMRQItqwQ385TI,padel
Bailey Padel club & Eventi,"Viale di Tor di Quinto, 56/a",00191 Roma RM,Sports club,Europe/Rome,+39 339 542 5766,"339 542 5766, +39 339 542 5766",Bailey Padel club & Eventi (Owner),baileypadelclub@gmail.com,"facebook: https://www.facebook.com/baileypadelclub
instagram: https://www.instagram.com/incomiacommunication",233,4.4,https://www.google.com/maps?cid=16948307453470609512,41.9370841,12.4733381,https://www.baileyclub.it/,baileyclub.it,https://lh3.googleusercontent.com/p/AF1QipMU4aIgclKNjLRYWLJVxqN6ZvBh-tk4RB6UIhIK,ChIJoc5f7zRhLxMRaJA4PNV7NOs,padel
American Padel,"Via della Cecchignola, 239",00143 Roma RM,"Padel court, Sports club",Europe/Rome,+39 327 296 2283,"327 296 2283, +39 327 296 2283",American Padel (Owner),,,27,4.9,https://www.google.com/maps?cid=4673608576530307103,41.8061828,12.5111923,,,https://lh3.googleusercontent.com/p/AF1QipOVHagxXoLPmOYpPS2-6Jvh0FiCc7NNtKUO__hf,ChIJawgLGa2LJRMRH9hODz3-20A,padel
Sunset Padel Club,"Via dei Monti di Primavalle, 164","Via dei Monti di Primavalle, 134/Ingresso Pedonale",Sports club,Europe/Rome,+39 376 211 0859,"376 211 0859, +39 376 211 0859",Sunset Padel Club (Owner),segreteria@sunsetpadelclub.com,,15,4.3,https://www.google.com/maps?cid=9300905927177394183,41.9090559,12.4132196,http://www.sunsetpadelclub.com/,sunsetpadelclub.com,https://lh3.googleusercontent.com/p/AF1QipNO6DvgNLBzo9ETo_p3dckJNqFic-TgjyBnVYBC,ChIJM2IkD-xfLxMRB9i7lql0E4E,padel
"Padel Club, Tennis Club, Paddle Tennis Club Pro Roma","Via di Sant'Agapito, 8",00177 Roma RM,Padel club,Europe/Rome,+39 06 2171 0100,"06 2171 0100, +39 06 2171 0100","Padel Club, Tennis Club, Paddle Tennis Club Pro Roma (Owner)",,,139,4.5,https://www.google.com/maps?cid=4012462597658613870,41.8946798,12.5440981,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyPBfSCN4ZaYbWqmSlA2LiyeTqyj47wvDFHlVb898DanM0WIS_iuHP0B1GLe0WXgveGwPe0ziGcG8jxe9UhaDQI2d5eoObE_qg8CJJrQDqZnXLeeDAsBzk163Itlj-wIaEOuTi7qw,ChIJP0zeSjBiLxMRbpj7P3khrzc,padel
Villa Mercede Padel Club,"Via Tuscolana, 20",00044 Frascati RM,Sports club,Europe/Rome,+39 06 942 4760,"06 942 4760, +39 06 942 4760",Villa Mercede Padel Club (Owner),commerciale@villamercede.com,"facebook: https://www.facebook.com/villamercedepadelclub
instagram: https://www.instagram.com/villamercedepadelclub,https://www.instagram.com/themerex_net
twitter: https://x.com/ThemerexThemes",50,4.3,https://www.google.com/maps?cid=6794437659298577709,41.8104296,12.6711895,https://villamercedepadelclub.com/,villamercedepadelclub.com,https://lh3.googleusercontent.com/p/AF1QipNLd6rpkVZDrfaj2rdeERFQrY5hICG9enJCYN2N,ChIJ2x0PYpBhLxMRLT0Hew2xSl4,padel
Dabliu Padel,"Viale Egeo, 98",00144 Roma RM,"Padel club, Sports activity location",Europe/Rome,+39 06 591 1985,"06 591 1985, +39 06 591 1985",Dabliu Padel (Owner),,"facebook: https://www.facebook.com/DabliuFitnessClub
instagram: https://www.instagram.com/dabliufitnessclub",57,4.3,https://www.google.com/maps?cid=15402026000837946013,41.8306321,12.4551597,https://www.dabliu.com/padel/,dabliu.com,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcosvD-JIk21h2KLvfP5p5c22X-UFu1DtrLpXVXPYCTPr94Ey_yx6ni9UdzMxJ7ObSrQGyqX0MGWSmpJGG0aVgxOORwMZqtaqbVe2v0cTzpHSzlYr7UexEF_h-pvMrhLk1AXyf9Q,ChIJvxhgKyeLJRMRnapGWQv9vtU,padel
Padel Doria,"Via del Baiardo, 26",00191 Roma RM,Padel court,Europe/Rome,+39 351 365 5878,"351 365 5878, +39 351 365 5878",Padel Doria (Owner),info@doriapadel.it,"facebook: https://www.facebook.com/padeldoria
instagram: https://www.instagram.com/padeldoria,https://www.instagram.com/p",3,5,https://www.google.com/maps?cid=4604138509786391527,41.9431792,12.4963092,https://www.doriapadel.it/,doriapadel.it,https://lh3.googleusercontent.com/p/AF1QipNm2GTPgpq1mdiyw1JEo_W0GTPhhYUANGMSj6ZW,ChIJXdXk0R1hLxMR56ODtJQv5T8,padel
New Padel Panda,"Via Nomentana, 1070",00137 Roma RM,"Padel club, Fitness center, Restaurant",Europe/Rome,+39 379 119 0299,"379 119 0299, +39 379 119 0299",New Padel Panda (Owner),,,51,4.1,https://www.google.com/maps?cid=6347988429671149782,41.951795,12.5731344,http://newpadelpanda.it/,newpadelpanda.it,https://lh3.googleusercontent.com/p/AF1QipPDuuen1zYPwBDI9ZddcIUsk-EoA8nJP5uzph4r,ChIJX9GkgGFkLxMR1rDW_NeVGFg,padel
Villa York Padel Club,"Via di Affogalasino, 40",00148 Roma RM,Padel club,Europe/Rome,+39 06 657 0535,"06 657 0535, +39 06 657 0535",Villa York Padel Club (Owner),,,7,4.9,https://www.google.com/maps?cid=11387045728071043332,41.8620611,12.4331115,https://playtomic.io/villa-york-padel-club/00a643a7-01ac-46c4-8a90-e1b6117e0e84?q=PADEL~2023-01-27~~~,playtomic.io,https://lh3.googleusercontent.com/p/AF1QipMQDowtRtfx_8pfVzH59yiXC1Y1lLkBGa2Vuimf,ChIJD1qzj3D1JRMRBMnNLsLpBp4,padel
Bel Poggio Padel Hub,"Via del Monte di Casa, 72/B",00138 Roma RM,Sports club,Europe/Rome,+39 351 301 0670,"351 301 0670, +39 351 301 0670",Bel Poggio Padel Hub (Owner),info@prenotauncampo.it,"facebook: https://www.facebook.com/prenotauncampo
instagram: https://www.instagram.com/prenotauncampo
twitter: https://x.com/prenotauncampo",121,4.2,https://www.google.com/maps?cid=13232463621079840733,41.9934539,12.5258951,https://www.prenotauncampo.it/centri-sportivi/roma/roma/padelhub/,prenotauncampo.it,https://lh3.googleusercontent.com/p/AF1QipMULZnHL00lqGlNBD2INwjN0dSHrmFSh7gKTGOu,ChIJQ58TpaRlLxMR3Te-BY4no7c,padel
